# generated by run.sh -- do not hand-edit
# date: 2026-09-06T15:52:13Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 6  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/list
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuild/2ptr/1024-23                      	    8671	     13581 ns/op	   34048 B/op	    1025 allocs/op
BenchmarkBuild/2ptr/1024-23                      	    7584	     13635 ns/op	   34048 B/op	    1025 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    8659	     14247 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    8779	     14345 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    9181	     14277 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    8594	     14154 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    8065	     14320 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/3ptr/1024-23                      	    8762	     14166 ns/op	   42264 B/op	    1026 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1114799 ns/op	 2097165 B/op	   65537 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1106309 ns/op	 2097167 B/op	   65537 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1162280 ns/op	 2097165 B/op	   65537 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1147847 ns/op	 2097165 B/op	   65537 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1113011 ns/op	 2097166 B/op	   65537 allocs/op
BenchmarkBuild/2ptr/65536-23                     	     100	   1106257 ns/op	 2097166 B/op	   65537 allocs/op
BenchmarkBuild/3ptr/65536-23                     	     100	   1256132 ns/op	 2621477 B/op	   65538 allocs/op
BenchmarkBuild/3ptr/65536-23                     	      87	   1329394 ns/op	 2621473 B/op	   65538 allocs/op
BenchmarkBuild/3ptr/65536-23                     	     100	   1240119 ns/op	 2621479 B/op	   65538 allocs/op
BenchmarkBuild/3ptr/65536-23                     	     100	   1285134 ns/op	 2621476 B/op	   65538 allocs/op
BenchmarkBuild/3ptr/65536-23                     	     100	   1454432 ns/op	 2621465 B/op	   65538 allocs/op
BenchmarkBuild/3ptr/65536-23                     	     100	   1229837 ns/op	 2621474 B/op	   65538 allocs/op
BenchmarkNoOp-23                                 	456508144	         0.2451 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                                 	503013026	         0.2338 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                                 	461336360	         0.2469 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                                 	525551548	         0.2323 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                                 	499098420	         0.2460 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                                 	422170657	         0.2545 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/list	19.617s
