# generated by run.sh -- do not hand-edit
# date: 2026-09-08T15:58:38Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sliceadapter
cpu: QEMU Virtual CPU version 2.5+
BenchmarkReportSemantics-23                                	1000000000	         0.2304 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkReportSemantics-23                                	1000000000	         0.2314 ns/op	       0 B/op	       0 allocs/op
--- BENCH: BenchmarkReportSemantics-23
    bench_test.go:167: Set through a value receiver sticks=true; Append through one sticks=false
    bench_test.go:174: conversion from []T aliases=true, and converts back=true
    bench_test.go:182: appends off a shared adapter header still alias=true
    bench_test.go:187: json.Marshal: Slice -> [1,2,3]   Vector -> {}
    bench_test.go:191: json.Unmarshal into Slice: [4 5 6] err=<nil>
    bench_test.go:193: widths: Slice header=24  *Vector=8
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  189807	      1129 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  235999	      1122 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  215450	      1132 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  200634	      1135 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  238682	      1133 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  206758	      1150 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  226136	      1173 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  198162	      1180 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  204705	      1149 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/VariadicExpansion-23        	  222820	      1159 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   97770	      2438 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   97353	      2417 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   95726	      2390 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	  101413	      2404 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   98823	      2394 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	  100964	      2402 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   97032	      2461 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   97484	      2416 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	  100078	      2405 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/SliceAdapter-23             	   98998	      2426 ns/op	    8328 B/op	       6 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   57931	      4232 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   57753	      4245 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   55486	      4233 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   55492	      4195 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   55776	      4216 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   57716	      4229 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   55706	      4232 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   54600	      4238 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   59232	      4102 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/ValuesSeq-23                	   65440	      3961 ns/op	   25272 B/op	      15 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  216583	      1117 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  199044	      1160 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  233484	      1107 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  201825	      1155 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  202597	      1182 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppendBulkForms/Empty/RawFloor-23                 	  198716	      1172 ns/op	    8192 B/op	       1 allocs/op
