# generated by run.sh -- do not hand-edit
# date: 2026-09-08T03:08:01Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewiface
cpu: QEMU Virtual CPU version 2.5+
BenchmarkCross/Iface/8-23    	 1898930	       126.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1880071	       126.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1844314	       128.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1888629	       126.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1859715	       127.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Iface/8-23    	 1873089	       128.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1922110	       125.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1973227	       122.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1910696	       124.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1953336	       123.8 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1936405	       124.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1934784	       123.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1984069	       121.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1951911	       122.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1939617	       124.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkCross/Ptr/8-23      	 1889940	       124.8 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18144674	        13.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18006240	        12.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18711850	        12.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18555874	        13.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18536074	        13.09 ns/op	      24 B/op	       1 allocs/op
