# generated by run.sh -- do not hand-edit
# date: 2026-09-24T21:35:05Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/witness
cpu: QEMU Virtual CPU version 2.5+
BenchmarkIterate/view/pure-witness-23                                	  567745	       414.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  569541	       411.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/pure-witness-23                                	  581083	       411.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  552106	       408.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  569577	       414.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  576772	       419.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  559054	       423.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  564139	       424.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  526180	       426.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  560450	       428.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateless)-23                  	  558667	       421.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  555268	       431.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  536718	       427.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  542371	       427.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  535431	       430.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  587446	       413.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  537385	       433.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  533738	       425.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/view/carried-witness(stateful)-23                   	  552381	       425.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	261712914	         0.9180 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	300233986	         0.8917 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	215311176	         1.013 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	314182117	         0.9640 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	258850399	         0.9256 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	254084912	         0.9418 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	212566340	         1.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/interface(today)-23                          	311153547	         0.9720 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	661848555	         0.3631 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	658317030	         0.3635 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	657261456	         0.3650 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	631285399	         0.3765 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	660501763	         0.3638 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	660286573	         0.3644 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	638217212	         0.3758 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/pure-witness-23                              	635032723	         0.3766 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	663252445	         0.3629 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	660896998	         0.3639 ns/op	       0 B/op	       0 allocs/op
