# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkContainerShape/KeySlice/ptr-23             	  526174	       444.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  554040	       421.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  579712	       426.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  522910	       421.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  562843	       428.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  600582	       425.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  578434	       425.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  554791	       419.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  507685	       424.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  567541	       426.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref-23             	  565582	       421.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  572524	       422.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  575428	       421.3 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  525805	       422.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  567739	       423.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  542492	       417.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  501387	       420.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  569876	       423.2 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  613206	       421.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  566414	       415.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/KeySlice/ref+nilcheck-23    	  563472	       420.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  330716	       746.7 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  322030	       750.7 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  324698	       753.9 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  323560	       754.2 ns/op	    3496 B/op	       3 allocs/op
