# generated by run.sh -- do not hand-edit
# date: 2026-09-06T05:18:34Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/dispatch
cpu: QEMU Virtual CPU version 2.5+
BenchmarkGet/generic-23                	58578832	         4.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	57155144	         4.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	60250657	         3.945 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	59430757	         3.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	56940500	         4.071 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/generic-23                	57597672	         4.042 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	1000000000	         0.2360 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	982970486	         0.2349 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	951672484	         0.2338 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	998651487	         0.2426 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	989445175	         0.2318 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	1000000000	         0.2333 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	927804334	         0.2409 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	1000000000	         0.2371 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	1000000000	         0.2321 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                       	964909846	         0.2389 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	46666149	         5.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	43991478	         4.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	46426476	         5.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	45794211	         4.989 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	45748112	         5.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	46176525	         5.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	46608511	         5.133 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	46166293	         5.103 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/raw-builtin-23            	48345213	         4.988 ns/op	       0 B/op	       0 allocs/op
