# generated by run.sh -- do not hand-edit
# date: 2026-09-11T03:49:29Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/reverse
cpu: QEMU Virtual CPU version 2.5+
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       206.8 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       202.6 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	  999486	       205.5 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       203.6 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       206.9 ns/op	     600 B/op	       4 allocs/op
BenchmarkSubRangeBackward/naive/materialise-23       	 1000000	       203.3 ns/op	     600 B/op	       4 allocs/op
BenchmarkConstructOnly/B/view-23                     	10199172	        23.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	 9550298	        23.45 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10556107	        23.20 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10077687	        23.53 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10196150	        23.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10108399	        23.45 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10090418	        23.56 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10070942	        23.43 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10366666	        23.69 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view-23                     	10275568	        23.18 ns/op	      32 B/op	       1 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 7094089	        35.01 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6787755	        35.35 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6753404	        35.60 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6646486	        35.49 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 7044366	        34.77 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6937744	        34.77 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6775806	        35.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6689258	        34.99 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 7040658	        35.24 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/B/view.Backward-23            	 6860120	        35.15 ns/op	      48 B/op	       2 allocs/op
BenchmarkConstructOnly/C/span-23                     	24768118	         9.851 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	23572345	        10.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	23938050	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	24346170	         9.806 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	24065484	        10.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	22823947	        10.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	23421177	        10.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	23324824	        10.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	24928281	         9.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span-23                     	24375999	         9.839 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	23536237	         9.906 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	21316713	        11.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	24156098	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	24135825	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	24102386	        10.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	23218501	        10.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	22016859	        10.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	23031696	        10.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	23294138	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOnly/C/span.Backward-23            	22900251	        10.50 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/reverse	40.328s
