# generated by run.sh -- do not hand-edit
# date: 2026-09-06T03:47:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/bulkinsert
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBulk/naive/n=10000/k=16-23       	    1990	     61944 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=16-23       	    1886	     62414 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2456	     45347 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2659	     45484 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2672	     45431 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2678	     44346 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2678	     44288 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2586	     45168 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2596	     44614 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2743	     44794 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2570	     44389 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=16-23        	    2517	     45849 ns/op	  246144 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	     991	    120492 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	     933	    119045 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	    1036	    117642 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	     988	    118773 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	    1021	    117175 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	    1023	    116820 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	     999	    117325 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	     970	    116422 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	    1045	    116178 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=64-23       	    1033	    117744 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2587	     44517 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2782	     43872 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2583	     44399 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2786	     44542 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2581	     44059 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2667	     44226 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2810	     43770 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2629	     44032 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2893	     43736 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=64-23        	    2637	     44760 ns/op	  247552 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     279	    427403 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     285	    424865 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     284	    423893 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     288	    426577 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     283	    423840 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     278	    430056 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     273	    428900 ns/op	  245760 B/op	       1 allocs/op
