# generated by run.sh -- do not hand-edit
# date: 2026-09-10T05:40:19Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/iteration
cpu: QEMU Virtual CPU version 2.5+
BenchmarkABReverseHalf/A_equivalent-23     	 5762488	        41.51 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5779010	        41.93 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 6019785	        41.58 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5686767	        41.94 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5583241	        42.00 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5750282	        41.56 ns/op	     120 B/op	       3 allocs/op
BenchmarkABReverseHalf/A_equivalent-23     	 5730156	        42.26 ns/op	     120 B/op	       3 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	925835592	         0.2343 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2316 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	668221488	         0.3426 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	908566831	         0.2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2268 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2307 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2344 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2291 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoOp-23                           	1000000000	         0.2366 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1214277	       197.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1217512	       197.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       202.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1201887	       199.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1204797	       198.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1000000	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1219443	       196.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/RawRange-23               	 1213704	       197.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  206188	      1140 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  202680	      1163 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  211707	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  203301	      1161 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  209784	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  207632	      1138 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  210283	      1134 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  206428	      1166 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  211519	      1144 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeValues-23           	  210369	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  203586	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  202383	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198189	      1205 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  201868	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  196713	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198744	      1201 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  197746	      1206 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  205200	      1179 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  203422	      1204 ns/op	       0 B/op	       0 allocs/op
BenchmarkForward/NativeAll-23              	  198010	      1204 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  203958	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204043	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204596	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  209469	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  200722	      1178 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  204194	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  199941	      1185 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  206520	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  205522	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/Native-23          	  207264	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  204552	      1182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  200180	      1172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  207583	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  202416	      1176 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  202152	      1184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  203260	      1188 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  210813	      1157 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  209280	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  208940	      1147 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Values/DerivedFromAll-23  	  208477	      1151 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  228316	      1118 ns/op	       0 B/op	       0 allocs/op
BenchmarkDerived/Keys/DerivedFromAll-23    	  231057	      1124 ns/op	       0 B/op	       0 allocs/op
