# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkLookup/bare/64-23        	41086758	         2.944 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	39994813	         2.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	38289224	         2.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	37491482	         3.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	37842580	         2.911 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/64-23        	44588000	         2.815 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12384188	         9.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12231440	         9.874 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12565389	         9.677 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12442105	         9.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12780559	         9.646 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12516999	         9.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	13023376	         9.427 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12456208	         9.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12564231	         9.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/64-23       	12521866	         9.705 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	11951863	        10.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	12155407	         9.822 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	12498818	         9.844 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	11997969	        10.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	12253351	         9.713 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	12065190	         9.810 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	12023380	         9.828 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	11779278	        10.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	11764814	        10.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/64-23      	11904168	        10.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	27795091	         4.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	26700712	         4.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	28305003	         4.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	25317928	         4.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	27647654	         4.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	28290890	         4.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	26732356	         4.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	25223235	         4.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	26453445	         4.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/1024-23      	29636478	         4.155 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 7990240	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 7032955	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8158905	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8278021	        14.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8174836	        14.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8291965	        14.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8170488	        14.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 7882749	        15.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8221953	        14.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/1024-23     	 8140113	        14.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 8047983	        14.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 8032401	        15.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7906430	        15.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7897833	        15.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7828153	        15.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 8071027	        15.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7946938	        15.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7737955	        15.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7820956	        15.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/1024-23    	 7996990	        15.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	18943827	         6.296 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	20597569	         5.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	19694042	         5.817 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	20408298	         5.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	20414835	         5.757 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	19748954	         6.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	19488544	         6.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	18655520	         6.372 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/16384-23     	18842944	         6.359 ns/op	       0 B/op	       0 allocs/op
