# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildRandom/btree/16384-23     	     100	   2363813 ns/op	       144.3 ns/insert	  886512 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2362978 ns/op	       144.2 ns/insert	  886506 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2345873 ns/op	       143.2 ns/insert	  886511 B/op	    1154 allocs/op
BenchmarkBuildRandom/btree/16384-23     	     100	   2366338 ns/op	       144.4 ns/insert	  886560 B/op	    1154 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 608451454 ns/op	      9284 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 629210320 ns/op	      9601 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 610697403 ns/op	      9319 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 609215973 ns/op	      9296 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 631080082 ns/op	      9630 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 608093872 ns/op	      9279 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 628336074 ns/op	      9588 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 607112043 ns/op	      9264 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 629890783 ns/op	      9611 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/slice/65536-23     	       1	 610480315 ns/op	      9315 ns/insert	 1572888 B/op	       2 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      21	  10447068 ns/op	       159.4 ns/insert	 3570213 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      22	  10653536 ns/op	       162.6 ns/insert	 3569965 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      22	  10342877 ns/op	       157.8 ns/insert	 3569965 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      24	  10595060 ns/op	       161.7 ns/insert	 3570187 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      21	  10534355 ns/op	       160.7 ns/insert	 3570213 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      22	  10580232 ns/op	       161.4 ns/insert	 3569960 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      22	  10468541 ns/op	       159.7 ns/insert	 3569965 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      22	  10516018 ns/op	       160.5 ns/insert	 3569960 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      24	  10507601 ns/op	       160.3 ns/insert	 3569964 B/op	    4601 allocs/op
BenchmarkBuildRandom/btree/65536-23     	      21	  10634953 ns/op	       162.3 ns/insert	 3570219 B/op	    4601 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1928412	       124.5 ns/op	        15.57 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1932295	       124.2 ns/op	        15.52 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1947415	       124.5 ns/op	        15.56 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1943958	       123.3 ns/op	        15.41 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1933512	       124.7 ns/op	        15.59 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1926680	       124.3 ns/op	        15.54 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1915579	       125.1 ns/op	        15.64 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1929008	       125.4 ns/op	        15.68 ns/insert	     216 B/op	       2 allocs/op
