# generated by run.sh -- do not hand-edit
# date: 2026-09-25T00:37:06Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

# seal check: the impossible assertion still does not compile:
#   # badcastcheck
#   ./bad.go:10:7: impossible type assertion: v.(s.MapSet[string])
#   	sealing.MapSet[string] does not implement sealing.IfaceView[string] (missing method viewOnly)

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sealing
cpu: QEMU Virtual CPU version 2.5+
BenchmarkConcreteParameter/shape-iface-param-23         	16308336	        14.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16423140	        14.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16682226	        14.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16322014	        14.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16786785	        14.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16761436	        14.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16599192	        14.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkConcreteParameter/shape-iface-param-23         	16503918	        14.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkIdentityView-23                                	633736435	         0.3870 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	620168931	         0.3896 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	625366620	         0.3910 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	619401129	         0.3879 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	602804062	         0.3878 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	626379175	         0.3844 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	591148263	         0.3885 ns/op	       0 B/op	       0 allocs/op
BenchmarkIdentityView-23                                	615214563	         0.3857 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/sealing	29.035s
