# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:33:17Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sizedcollect
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildSortedSet/unknown/4096-23         	    1165	     96294 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1417	     87976 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1284	     87557 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1263	     93594 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1186	     90851 ns/op	  128248 B/op	      16 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1599	     87069 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1434	     81717 ns/op	  128248 B/op	      16 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1572	     80363 ns/op	  128248 B/op	      16 allocs/op
BenchmarkBuildSortedSet/unknown/4096-23         	    1882	     80284 ns/op	  128248 B/op	      15 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    2188	     77087 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1322	     92301 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1328	     90823 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1624	     92807 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1418	     90845 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1226	     89206 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1132	     93419 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1665	     76707 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1281	     94440 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/4096-23           	    1542	     83529 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    2130	     82609 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1616	     83695 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1341	     77877 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1372	     82262 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1414	     86535 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1226	     92807 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1508	     77334 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1950	     72775 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    1362	     88069 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/clone/4096-23           	    2180	     78020 ns/op	   32768 B/op	       1 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      37	   3253429 ns/op	 2512126 B/op	      25 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      36	   3257421 ns/op	 2512129 B/op	      25 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      36	   3259872 ns/op	 2512126 B/op	      25 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      36	   3265168 ns/op	 2512135 B/op	      26 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      36	   3243579 ns/op	 2512125 B/op	      25 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      34	   3240989 ns/op	 2512132 B/op	      25 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      34	   3215648 ns/op	 2512145 B/op	      26 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      37	   3240421 ns/op	 2512135 B/op	      26 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      36	   3220109 ns/op	 2512154 B/op	      26 allocs/op
BenchmarkBuildSortedSet/unknown/65536-23        	      34	   3274936 ns/op	 2512132 B/op	      25 allocs/op
BenchmarkBuildSortedSet/known/65536-23          	      38	   2958363 ns/op	  524288 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/65536-23          	      38	   2978048 ns/op	  524288 B/op	       1 allocs/op
BenchmarkBuildSortedSet/known/65536-23          	      39	   2940137 ns/op	  524288 B/op	       1 allocs/op
